name,id,texture,count,quality,canUse,level,levelColHeader,minBid,minIncrement,buyoutPrice,bidAmount,highBidder,bidderFullName,owner,ownerFullName,saleStatus
1445,1445,135038,1,-1,false,854894080,9031,0,9506,0,false,0
1445,1445,135038,1,-1,false,854894080,9032,0,9507,0,false,0
Bog Lord Tendril,24291,134324,1,1,true,1,REQ_LEVEL_ABBR,3230,0,3400,0,false,0
36656,36656,135471,1,-1,false,854894080,67500,0,100000,0,false,0
36656,36656,135471,1,-1,false,854894080,100000,0,120000,0,false,0
Fel Iron Ore,23424,134569,1,1,true,1,REQ_LEVEL_ABBR,12900,0,12999,0,false,0
Fel Iron Ore,23424,134569,1,1,true,1,REQ_LEVEL_ABBR,12900,0,12999,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,20,1,true,1,REQ_LEVEL_ABBR,199900,0,210000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,20,1,true,1,REQ_LEVEL_ABBR,290000,0,300000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,20,1,true,1,REQ_LEVEL_ABBR,297000,0,27110100,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,10,1,true,1,REQ_LEVEL_ABBR,128212,0,134960,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,4,1,true,1,REQ_LEVEL_ABBR,51285,0,53984,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,1,1,true,1,REQ_LEVEL_ABBR,12900,0,12999,0,false,0
Fel Iron Ore,23424,134569,20,1,true,1,REQ_LEVEL_ABBR,250000,0,270000,0,false,0
Fel Iron Ore,23424,134569,10,1,true,1,REQ_LEVEL_ABBR,128212,0,134960,0,false,0
Fel Iron Ore,23424,134569,1,1,true,1,REQ_LEVEL_ABBR,12900,0,12999,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,1,1,true,1,REQ_LEVEL_ABBR,12900,0,12999,0,false,0
Fel Iron Ore,23424,134569,3,1,true,1,REQ_LEVEL_ABBR,29925,0,31500,0,false,0
Fel Iron Ore,23424,134569,10,1,true,1,REQ_LEVEL_ABBR,128212,0,134960,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,31000,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,29450,0,30998,0,false,0
Fel Iron Ore,23424,134569,3,1,true,1,REQ_LEVEL_ABBR,29923,0,31497,0,false,0
Fel Iron Ore,23424,134569,3,1,true,1,REQ_LEVEL_ABBR,4500,0,0,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,19947,0,20996,0,false,0
Fel Iron Ore,23424,134569,1,1,true,1,REQ_LEVEL_ABBR,9973,0,10497,0,false,0
Fel Iron Ore,23424,134569,1,1,true,1,REQ_LEVEL_ABBR,9973,0,10497,0,false,0
Fel Iron Ore,23424,134569,1,1,true,1,REQ_LEVEL_ABBR,9973,0,10497,0,false,0
Fel Iron Ore,23424,134569,1,1,true,1,REQ_LEVEL_ABBR,9973,0,10497,0,false,0
Fel Iron Ore,23424,134569,1,1,true,1,REQ_LEVEL_ABBR,9973,0,10497,0,false,0
Fel Iron Ore,23424,134569,5,1,true,1,REQ_LEVEL_ABBR,49362,0,51960,0,false,0
Fel Iron Ore,23424,134569,15,1,true,1,REQ_LEVEL_ABBR,155865,0,155865,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,19741,0,20780,0,false,0
Fel Iron Ore,23424,134569,2,1,true,1,REQ_LEVEL_ABBR,19741,0,20780,0,false,0
Fel Iron Ore,23424,134569,1,1,true,1,REQ_LEVEL_ABBR,9871,0,10390,0,false,0
Raw Sagefish,21071,133906,6,1,true,10,REQ_LEVEL_ABBR,19939,0,20988,0,false,0
Raw Sagefish,21071,133906,5,1,true,10,REQ_LEVEL_ABBR,16621,0,17495,0,false,0
Puissant Shadow Crystal,39933,237211,1,2,true,1,REQ_LEVEL_ABBR,28433,0,29929,0,false,0
Puissant Shadow Crystal,39933,237211,1,2,true,1,REQ_LEVEL_ABBR,28432,0,29928,0,false,0
Puissant Shadow Crystal,39933,237211,1,2,true,1,REQ_LEVEL_ABBR,28432,0,29928,0,false,0
Puissant Shadow Crystal,39933,237211,1,2,true,1,REQ_LEVEL_ABBR,28432,0,29928,0,false,0
Puissant Shadow Crystal,39933,237211,1,2,true,1,REQ_LEVEL_ABBR,28432,0,29928,0,false,0
Puissant Shadow Crystal,39933,237211,1,2,true,1,REQ_LEVEL_ABBR,28432,0,29928,0,false,0
Glyph of Frost Trap,42906,254290,1,1,false,28,REQ_LEVEL_ABBR,15690,0,16515,0,false,0
Glyph of Frost Trap,42906,254290,1,1,false,28,REQ_LEVEL_ABBR,15690,0,16515,0,false,0
Glyph of Frost Trap,42906,254290,1,1,false,28,REQ_LEVEL_ABBR,15690,0,16515,0,false,0
Glyph of Frost Trap,42906,254290,1,1,false,28,REQ_LEVEL_ABBR,15690,0,16515,0,false,0
Glyph of Frost Trap,42906,254290,1,1,false,28,REQ_LEVEL_ABBR,16350,0,16400,0,false,0
Glyph of Frost Trap,42906,254290,1,1,false,28,REQ_LEVEL_ABBR,16350,0,16400,0,false,0
Glyph of Frost Trap,42906,254290,1,1,false,28,REQ_LEVEL_ABBR,16350,0,16400,0,false,0
36300,36300,132582,1,-1,false,854894080,69184,0,80000,0,false,0
44676,44676,134637,1,-1,false,854894080,450134,0,450134,0,false,0
43870,43870,133085,1,-1,false,854894080,1312776,0,1381869,0,false,0
43870,43870,133085,1,-1,false,854894080,1381866,0,1381866,0,false,0
43870,43870,133085,1,-1,false,854894080,1216041,0,1381865,0,false,0
43870,43870,133085,1,-1,false,854894080,1312776,0,1381869,0,false,0
41787,41787,134941,1,-1,false,854894080,1804810,0,1899800,0,false,0
13115,13115,135050,1,-1,false,854894080,200486,0,300000,0,false,0
1645,1645,132789,2,-1,false,854894080,1110,0,1110,0,false,0
43115,43115,237063,5,-1,false,854894080,18525,0,19500,0,false,0
43115,43115,237063,3,-1,false,854894080,11393,0,11990,0,false,0
Felcloth Hood,14111,133136,1,2,false,53,REQ_LEVEL_ABBR,46106,0,60000,0,false,0
36401,36401,135046,1,-1,false,854894080,1769496,0,1769496,0,false,0
45773,45773,133651,1,-1,false,854894080,6278802,0,6278802,0,false,0
45773,45773,133651,1,-1,false,854894080,6278802,0,6278802,0,false,0
36597,36597,132464,1,-1,false,854894080,1664100,0,1664100,0,false,0
10235,10235,133076,1,-1,false,854894080,237500,0,250000,0,false,0
Talbuk Steak,27660,134040,5,1,false,55,REQ_LEVEL_ABBR,16535,0,17405,0,false,0
Talbuk Steak,27660,134040,20,1,false,55,REQ_LEVEL_ABBR,66481,0,69980,0,false,0
Talbuk Steak,27660,134040,5,1,false,55,REQ_LEVEL_ABBR,16535,0,17405,0,false,0
Talbuk Steak,27660,134040,20,1,false,55,REQ_LEVEL_ABBR,66481,0,69980,0,false,0
Talbuk Steak,27660,134040,5,1,false,55,REQ_LEVEL_ABBR,16535,0,17405,0,false,0
Talbuk Steak,27660,134040,5,1,false,55,REQ_LEVEL_ABBR,16535,0,17405,0,false,0
Talbuk Steak,27660,134040,4,1,false,55,REQ_LEVEL_ABBR,13297,0,13996,0,false,0
Talbuk Steak,27660,134040,5,1,false,55,REQ_LEVEL_ABBR,16535,0,17405,0,false,0
Talbuk Steak,27660,134040,17,1,false,55,REQ_LEVEL_ABBR,56202,0,59160,0,false,0
36220,36220,132550,1,-1,false,854894080,76000,0,80000,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,16,1,true,1,REQ_LEVEL_ABBR,79040,0,83200,0,false,0
Bronze Bar,2841,133227,20,1,true,1,REQ_LEVEL_ABBR,41580,0,27110100,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4499,0,4499,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,20,1,true,1,REQ_LEVEL_ABBR,71500,0,71500,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,22800,0,24000,0,false,0
Bronze Bar,2841,133227,3,1,true,1,REQ_LEVEL_ABBR,13680,0,14400,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4601,0,4875,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4499,0,4499,0,false,0
Bronze Bar,2841,133227,20,1,true,1,REQ_LEVEL_ABBR,20,1,194500,20,false,0
Bronze Bar,2841,133227,20,1,true,1,REQ_LEVEL_ABBR,20,1,194500,20,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4601,0,4875,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4601,0,4875,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4601,0,4875,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4601,0,4875,0,false,0
Bronze Bar,2841,133227,20,1,true,1,REQ_LEVEL_ABBR,161500,0,161500,0,false,0
Bronze Bar,2841,133227,20,1,true,1,REQ_LEVEL_ABBR,161500,0,161500,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4499,0,4499,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,22800,0,24000,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4601,0,4875,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4601,0,4875,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4601,0,4875,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,22800,0,24000,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,22800,0,24000,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4499,0,4499,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,26444,0,27835,0,false,0
Bronze Bar,2841,133227,1,1,true,1,REQ_LEVEL_ABBR,4499,0,4499,0,false,0
Bronze Bar,2841,133227,20,1,true,1,REQ_LEVEL_ABBR,161500,0,161500,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,22800,0,24000,0,false,0
Bronze Bar,2841,133227,5,1,true,1,REQ_LEVEL_ABBR,22800,0,24000,0,false,0
